InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,NBMinColum,Strategy,LowerBound,GenerateCol,maxNbCallHeuristics,Memorization,NBNodes,NBCut,NBCleaning,NBCutInMemo,NBRemInMemo,NBComputeCost,NBCallsHeu,NBCallDP,NBCallSubProcessCG,NBCallSubProcessBaB,isOptimal,Objective
instance4_n_20_N_40_tf_0.8_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.808904,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,13
instance3_n_30_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,0.594463,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance8_n_10_N_40_tf_1.0_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0897906,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance0_n_30_N_40_tf_1.0_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,52.665,300,1,depth-first,Columns_Generation,0,1,1,6982,4803,0,6125,0,55537,0,68502,0,89,1,39
instance3_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.145667,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance4_n_30_N_40_tf_0.8_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,40.5818,300,1,depth-first,Columns_Generation,0,1,1,4364,3722,0,3283,0,27842,0,35934,0,381,1,45
instance8_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0946817,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance1_n_10_N_40_tf_1.0_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0815979,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance3_n_30_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,84.9666,300,nan,depth-first,LB_from_MIP,nan,nan,1,22984,31839,0,33162,0,22,0,0,0,5574,1,19
instance4_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0845415,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance4_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.114958,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
